"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WSFG"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-15",," 1554","0.0",,"15.0","8.9","14.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-16",," 0918","0.0",,"22.8","8.3","14.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-17",," 0312","0.0",,"23.9","13.9","9.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-18",," 1730","0.0",,"24.4","8.9","9.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-19",," 1854","0.0",,"22.8","8.3","13.4"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-20",," 1724","0.0",,"23.3","7.8","11.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-21",," 1530","0.0",,"15.0","8.3","12.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-22",," 1630","0.0",,"13.9","8.9","12.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-23",," 1442","0.0",,"12.8","9.4","10.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-24",," 1624","0.0",,"13.3","10.0","10.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-25",," 1754","0.0",,"14.4","10.0","10.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-26",," 2230","0.0",,"16.1","8.3","9.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-27",," 1824","9.1",,"16.7","9.4","18.0"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-28",," 1300","0.0",,"15.0","6.7","10.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-29",," 2224","0.0",,"16.7","5.0","7.7"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-30",," 1448","3.8",,"16.1","10.0","17.5"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-03-31",," 0054","0.0",,"16.1","6.7","9.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-01",," 1630","0.0",,"17.2","10.6","13.9"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-02",," 1730","0.0",,"24.4","8.9","8.2"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-03",," 2224","0.0",,"25.0","10.0","10.3"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-04",," 1806","0.0",,"27.2","8.3","9.8"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","1960-04-05",," 1418","0.0",,"21.1","9.4","12.3"
